epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1512.74,0.99431,0.56683,1.06119,0.9758,0.96817,0.99176,0.77357,0.88305,0.41468,0.99993,0.0011882,0.0011882,0.0011882
43,1663.51,0.98224,0.5564,1.05399,0.97774,0.9629,0.99105,0.77016,0.87996,0.4104,0.99762,0.0011684,0.0011684,0.0011684
44,1733.68,0.98081,0.55789,1.05854,0.97465,0.96323,0.99079,0.7595,0.87739,0.41303,1.00261,0.0011486,0.0011486,0.0011486
45,1765.28,0.97916,0.55311,1.07002,0.97656,0.96764,0.99169,0.78569,0.84065,0.39005,0.98243,0.0011288,0.0011288,0.0011288
46,1805.61,0.99029,0.54861,1.06795,0.97365,0.9642,0.99179,0.78105,0.84549,0.39834,0.98813,0.001109,0.001109,0.001109
47,1835.18,0.98943,0.55777,1.05462,0.96293,0.96764,0.99132,0.77517,0.85475,0.40068,0.99097,0.0010892,0.0010892,0.0010892
48,1864.94,0.97845,0.54969,1.05092,0.97758,0.95587,0.98998,0.77422,0.8689,0.41703,0.9962,0.0010694,0.0010694,0.0010694
49,1905.49,0.97671,0.54104,1.06312,0.9655,0.96398,0.99099,0.76152,0.88736,0.40473,1.00622,0.0010496,0.0010496,0.0010496
50,1949.18,0.97112,0.54268,1.04755,0.97162,0.96501,0.99058,0.77995,0.85277,0.39485,0.98888,0.0010298,0.0010298,0.0010298
51,1985.76,0.95017,0.54268,1.03835,0.9818,0.9666,0.99183,0.77553,0.8547,0.39053,0.99392,0.00101,0.00101,0.00101
52,2016.32,0.96822,0.5443,1.05908,0.9841,0.96917,0.99268,0.77757,0.8614,0.39018,0.9926,0.0009902,0.0009902,0.0009902
53,2054.96,0.96915,0.54563,1.03976,0.96518,0.97704,0.99186,0.77645,0.85479,0.39025,0.99505,0.0009704,0.0009704,0.0009704
54,2091.8,0.95854,0.53342,1.05461,0.9776,0.96764,0.9924,0.78545,0.84911,0.39317,0.98705,0.0009506,0.0009506,0.0009506
55,2139.81,0.95484,0.53789,1.03069,0.98577,0.96451,0.99197,0.77432,0.86464,0.38431,0.9934,0.0009308,0.0009308,0.0009308
56,2175.73,0.95613,0.53016,1.04134,0.97388,0.97317,0.99206,0.78174,0.8423,0.39009,0.97833,0.000911,0.000911,0.000911
57,2210.76,0.93734,0.51914,1.0354,0.98005,0.96555,0.99165,0.78458,0.84155,0.37739,0.98524,0.0008912,0.0008912,0.0008912
58,2248.58,0.9467,0.52393,1.03491,0.9741,0.97286,0.99217,0.79093,0.83222,0.37474,0.97939,0.0008714,0.0008714,0.0008714
59,2322.47,0.93662,0.51739,1.02659,0.97565,0.97599,0.99227,0.78867,0.83769,0.36794,0.98251,0.0008516,0.0008516,0.0008516
60,2373.79,0.93712,0.51087,1.05005,0.97588,0.97152,0.99159,0.78278,0.83208,0.37423,0.97892,0.0008318,0.0008318,0.0008318
61,2408.47,0.93674,0.51774,1.03242,0.97798,0.97374,0.99266,0.78955,0.83961,0.36859,0.98138,0.000812,0.000812,0.000812
62,2452.92,0.94017,0.51473,1.05235,0.97965,0.97808,0.99258,0.78324,0.85043,0.38426,0.98576,0.0007922,0.0007922,0.0007922
63,2485.66,0.95004,0.52765,1.04217,0.97492,0.97391,0.99205,0.78811,0.83322,0.37403,0.97953,0.0007724,0.0007724,0.0007724
64,2541.81,0.92805,0.51581,1.03036,0.981,0.97008,0.99243,0.79504,0.82695,0.37369,0.9763,0.0007526,0.0007526,0.0007526
65,2585.59,0.91159,0.50221,1.01024,0.96995,0.9771,0.99221,0.79286,0.82495,0.36566,0.97718,0.0007328,0.0007328,0.0007328
66,2632.58,0.92297,0.50381,1.02846,0.98113,0.97676,0.99324,0.78667,0.83324,0.36214,0.9805,0.000713,0.000713,0.000713
67,2700.82,0.92073,0.50746,1.02692,0.97593,0.9734,0.99275,0.79895,0.82243,0.3693,0.97572,0.0006932,0.0006932,0.0006932
68,2734.22,0.91132,0.50123,1.01561,0.98583,0.97599,0.99289,0.79407,0.82117,0.35613,0.97564,0.0006734,0.0006734,0.0006734
69,2764.45,0.91809,0.49776,1.02132,0.97996,0.96986,0.99227,0.78866,0.83685,0.36818,0.98021,0.0006536,0.0006536,0.0006536
70,2802.41,0.91561,0.50208,1.02709,0.97803,0.97571,0.99237,0.7889,0.83725,0.36225,0.97635,0.0006338,0.0006338,0.0006338
71,2844.94,0.91061,0.48881,1.01861,0.98114,0.9773,0.9927,0.79291,0.83294,0.36088,0.97596,0.000614,0.000614,0.000614
72,2897,0.89639,0.48567,1.01392,0.97974,0.97286,0.99266,0.78973,0.84105,0.36039,0.98335,0.0005942,0.0005942,0.0005942
73,2941.3,0.89452,0.48692,1.02365,0.981,0.9739,0.99317,0.79876,0.8248,0.35365,0.97596,0.0005744,0.0005744,0.0005744
74,2972.75,0.90517,0.48438,1.01626,0.97597,0.97511,0.99255,0.79495,0.8404,0.35105,0.98102,0.0005546,0.0005546,0.0005546
75,3017.43,0.89452,0.48711,1.01191,0.97596,0.97474,0.99275,0.79293,0.83819,0.35156,0.98392,0.0005348,0.0005348,0.0005348
76,3050.59,0.90275,0.48589,1.01681,0.97896,0.97122,0.99282,0.79724,0.82094,0.35174,0.97364,0.000515,0.000515,0.000515
77,3089.1,0.89007,0.48589,1.02303,0.98001,0.97228,0.99295,0.79315,0.82078,0.35588,0.97414,0.0004952,0.0004952,0.0004952
78,3130.03,0.88508,0.47007,1.00182,0.98632,0.97819,0.99322,0.79789,0.81979,0.34676,0.97217,0.0004754,0.0004754,0.0004754
79,3167.97,0.89356,0.47969,1.01904,0.98352,0.9739,0.99341,0.79544,0.8214,0.34461,0.97097,0.0004556,0.0004556,0.0004556
80,3222.04,0.88245,0.4745,1.01389,0.97684,0.97912,0.99328,0.79652,0.82122,0.34647,0.97051,0.0004358,0.0004358,0.0004358
81,3254.79,0.8822,0.48172,1.01943,0.98931,0.96868,0.9936,0.80026,0.81525,0.34111,0.9698,0.000416,0.000416,0.000416
82,3294.43,0.86769,0.46169,1.00878,0.99046,0.97488,0.9935,0.79889,0.81787,0.34374,0.97411,0.0003962,0.0003962,0.0003962
83,3397.36,0.87563,0.46159,1.00334,0.97943,0.97495,0.99322,0.79929,0.81103,0.34525,0.96778,0.0003764,0.0003764,0.0003764
84,3430.4,0.88508,0.46451,1.01126,0.98629,0.97652,0.99366,0.79918,0.82207,0.34481,0.97127,0.0003566,0.0003566,0.0003566
