epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1096.53,0.93818,0.52342,1.03567,0.97254,0.9666,0.99178,0.77604,0.86817,0.39966,0.99401,0.0011684,0.0011684,0.0011684
44,1121.3,0.92291,0.51546,1.02379,0.97749,0.97077,0.99239,0.76899,0.8537,0.39723,0.99382,0.0011486,0.0011486,0.0011486
45,1145.28,0.92702,0.51377,1.02618,0.97592,0.97294,0.99164,0.78376,0.83444,0.38092,0.98021,0.0011288,0.0011288,0.0011288
46,1169.47,0.94049,0.52103,1.02973,0.98332,0.96033,0.9924,0.78397,0.84783,0.39956,0.98516,0.001109,0.001109,0.001109
47,1194.17,0.92804,0.51997,1.02725,0.96712,0.96868,0.99146,0.76047,0.87189,0.40635,0.99888,0.0010892,0.0010892,0.0010892
48,1222.34,0.93025,0.50978,1.02544,0.97449,0.97182,0.99224,0.77422,0.86063,0.39611,0.99072,0.0010694,0.0010694,0.0010694
49,1247.28,0.9328,0.51475,1.02838,0.98526,0.96347,0.99263,0.77344,0.8533,0.38574,0.98989,0.0010496,0.0010496,0.0010496
50,1272.16,0.92869,0.51395,1.02895,0.96683,0.97374,0.99232,0.78359,0.84128,0.39229,0.98443,0.0010298,0.0010298,0.0010298
51,1296.87,0.90635,0.50644,1.01269,0.97597,0.975,0.99285,0.78418,0.83064,0.37821,0.9786,0.00101,0.00101,0.00101
52,1321.27,0.92563,0.51186,1.03198,0.98211,0.97394,0.99306,0.78296,0.83383,0.37163,0.97764,0.0009902,0.0009902,0.0009902
53,1348.95,0.904,0.49953,1.01791,0.97698,0.97454,0.99321,0.78417,0.82642,0.36586,0.97723,0.0009704,0.0009704,0.0009704
54,1373.23,0.91628,0.49563,1.02092,0.97395,0.97571,0.9928,0.77598,0.84697,0.3723,0.98732,0.0009506,0.0009506,0.0009506
55,1397.28,0.912,0.50002,1.015,0.96979,0.97168,0.99249,0.78493,0.8447,0.37038,0.98227,0.0009308,0.0009308,0.0009308
56,1421.66,0.90721,0.49783,1.01967,0.97928,0.97182,0.99287,0.78799,0.82573,0.36972,0.97424,0.000911,0.000911,0.000911
57,1446.15,0.89314,0.48565,1.01299,0.97888,0.96775,0.99275,0.78371,0.83456,0.37226,0.98473,0.0008912,0.0008912,0.0008912
58,1470.81,0.90509,0.49064,1.01176,0.97875,0.96139,0.99237,0.78861,0.83016,0.36621,0.9759,0.0008714,0.0008714,0.0008714
59,1496,0.90141,0.49774,1.0162,0.97506,0.97956,0.99302,0.78786,0.82589,0.36238,0.97851,0.0008516,0.0008516,0.0008516
60,1520.97,0.8986,0.48783,1.01862,0.97408,0.98066,0.99283,0.78877,0.82706,0.36216,0.97538,0.0008318,0.0008318,0.0008318
61,1545.81,0.89404,0.49035,1.01128,0.96813,0.98017,0.99251,0.79188,0.8359,0.35883,0.97869,0.000812,0.000812,0.000812
62,1570.14,0.89902,0.48763,1.01756,0.97294,0.97599,0.99205,0.78776,0.8378,0.36104,0.97694,0.0007922,0.0007922,0.0007922
63,1594.5,0.88751,0.49094,1.00697,0.97094,0.97645,0.99261,0.79494,0.82036,0.3632,0.97474,0.0007724,0.0007724,0.0007724
64,1622.17,0.89208,0.48036,1.00999,0.98305,0.96855,0.99301,0.78551,0.82891,0.37106,0.9782,0.0007526,0.0007526,0.0007526
65,1650.14,0.86233,0.47164,0.99704,0.97003,0.97972,0.99256,0.79464,0.82966,0.35914,0.97508,0.0007328,0.0007328,0.0007328
66,1675.19,0.88037,0.46991,1.00497,0.97709,0.97959,0.99304,0.78983,0.83405,0.35663,0.98154,0.000713,0.000713,0.000713
67,1699.65,0.87574,0.47164,1.00587,0.9745,0.97704,0.99332,0.79535,0.8163,0.35424,0.97051,0.0006932,0.0006932,0.0006932
68,1724.63,0.86788,0.46924,0.99634,0.98185,0.97912,0.99269,0.7952,0.82525,0.35275,0.97847,0.0006734,0.0006734,0.0006734
69,1751.77,0.87365,0.46846,1.00253,0.98316,0.97536,0.99304,0.79288,0.82304,0.35329,0.97602,0.0006536,0.0006536,0.0006536
70,1776.32,0.86607,0.46615,1.00269,0.98428,0.98012,0.99328,0.79536,0.82708,0.34564,0.97602,0.0006338,0.0006338,0.0006338
71,1806.66,0.86781,0.45935,1.0036,0.98112,0.9765,0.99324,0.79272,0.81914,0.34614,0.97086,0.000614,0.000614,0.000614
72,1836.7,0.85693,0.4585,0.9962,0.98307,0.96995,0.99314,0.79422,0.82678,0.34586,0.97559,0.0005942,0.0005942,0.0005942
73,1865.88,0.85332,0.46029,0.99251,0.98223,0.9739,0.99315,0.79205,0.82598,0.34783,0.97428,0.0005744,0.0005744,0.0005744
74,1894.7,0.85743,0.45794,0.99354,0.98096,0.97599,0.99354,0.79698,0.82003,0.3429,0.97593,0.0005546,0.0005546,0.0005546
75,1919.91,0.86202,0.45902,0.99456,0.98138,0.97495,0.9931,0.79687,0.82221,0.34535,0.97682,0.0005348,0.0005348,0.0005348
76,1945.13,0.85609,0.4578,0.99518,0.98419,0.9745,0.99277,0.7987,0.80587,0.34101,0.96792,0.000515,0.000515,0.000515
77,1970.13,0.85903,0.45394,0.99555,0.98225,0.98224,0.99343,0.79618,0.80627,0.33938,0.96607,0.0004952,0.0004952,0.0004952
78,1995.34,0.83498,0.43695,0.98131,0.9792,0.98291,0.99318,0.80129,0.81074,0.33384,0.96748,0.0004754,0.0004754,0.0004754
79,2019.93,0.85554,0.45195,0.99575,0.97461,0.98643,0.99311,0.79813,0.81805,0.33902,0.97294,0.0004556,0.0004556,0.0004556
80,2044.28,0.84479,0.45073,0.9898,0.97617,0.98356,0.99338,0.79423,0.8135,0.34133,0.96926,0.0004358,0.0004358,0.0004358
81,2068.29,0.83454,0.45035,0.99434,0.97913,0.97963,0.99209,0.79632,0.80985,0.3351,0.97004,0.000416,0.000416,0.000416
82,2093.39,0.82879,0.43693,0.98993,0.98625,0.97328,0.99245,0.79915,0.80577,0.32905,0.96772,0.0003962,0.0003962,0.0003962
83,2120.69,0.83259,0.43676,0.98172,0.98635,0.97286,0.99234,0.79783,0.81197,0.33082,0.97121,0.0003764,0.0003764,0.0003764
84,2147.87,0.83311,0.43217,0.98236,0.98626,0.97421,0.99329,0.79498,0.81424,0.33252,0.97122,0.0003566,0.0003566,0.0003566
85,2173.8,0.83792,0.43296,0.98441,0.98861,0.9739,0.99367,0.79714,0.81458,0.3315,0.96997,0.0003368,0.0003368,0.0003368
